--------------------------------------------------
### Mass point displacement & velocity record ####
--------------------------------------------------
| StepNo | StepAccumTime | DisplAccum | Velo |    
--------------------------------------------------
146	0.145	1.18334e-05	-0.0132755
147	0.146	-1.69447e-06	-0.0124023
148	0.147	-1.3703e-05	-0.0104533
149	0.148	-2.32184e-05	-0.00771974
150	0.149	-2.95988e-05	-0.00453684
151	0.15	-3.25607e-05	-0.00124841
152	0.151	-3.21703e-05	0.00182644
153	0.152	-2.88011e-05	0.00442074
154	0.153	-2.30688e-05	0.00633943
155	0.154	-1.57488e-05	0.00747045
156	0.155	-7.68754e-06	0.00778691
157	0.156	2.84271e-07	0.00734104
158	0.157	7.42775e-06	0.00625132
159	0.158	1.3156e-05	0.00468474
160	0.159	1.70741e-05	0.00283621
161	0.16	1.89964e-05	0.0009075
162	0.161	1.89432e-05	-0.000912389
163	0.162	1.71183e-05	-0.00246367
164	0.163	1.3871e-05	-0.00362783
165	0.164	9.64901e-06	-0.00433458
166	0.165	4.94637e-06	-0.00456362
167	0.166	2.52613e-07	-0.00434151
168	0.167	-3.99283e-06	-0.00373444
169	0.168	-7.43676e-06	-0.00283808
170	0.169	-9.8367e-06	-0.00176562
171	0.17	-1.10725e-05	-0.000635367
172	0.171	-1.11453e-05	0.000440829
173	0.172	-1.01652e-05	0.00136745
174	0.173	-8.33e-06	0.00207259
175	0.174	-5.89793e-06	0.0025124
176	0.175	-3.15713e-06	0.00267228
177	0.176	-3.95777e-07	0.00256539
178	0.177	2.12502e-06	0.00222858
179	0.178	4.19296e-06	0.00171658
180	0.179	5.6596e-06	0.00109502
181	0.18	6.4478e-06	0.000433248
182	0.181	6.55186e-06	-0.000202621
183	0.182	6.0308e-06	-0.000755538
184	0.183	4.99638e-06	-0.00118197
185	0.184	3.59726e-06	-0.00145464
186	0.185	2.00138e-06	-0.00156342
187	0.186	3.78219e-07	-0.0015146
188	0.187	-1.11719e-06	-0.0013286
189	0.188	-2.35741e-06	-0.00103666
190	0.189	-3.25176e-06	-0.00067683
191	0.19	-3.75111e-06	-0.000289689
192	0.191	-3.84835e-06	8.56956e-05
193	0.192	-3.57478e-06	0.000415292
194	0.193	-2.99337e-06	0.000672783
195	0.194	-2.18961e-06	0.000841265
196	0.195	-1.26126e-06	0.000913883
